대분류코드,대분류명,중분류코드,중분류명,소분류코드,소분류명,수집시간
D,고시 등,03,본인일부부담금 산정특례에 관한기준,D03004,소아암,2025-07-26T02:55:31.360793
D,고시 등,03,본인일부부담금 산정특례에 관한기준,D03005,근육병,2025-07-26T02:55:31.360793
D,고시 등,04,선택진료에관한기준,D04000,일반사항,2025-07-26T02:55:35.563578
D,고시 등,05,약제및치료재료의구입금액에 대한 산정기준,D05000,일반사항,2025-07-26T02:55:39.730013
D,고시 등,05,약제및치료재료의구입금액에 대한 산정기준,D05001,약제 산정기준,2025-07-26T02:55:39.730338
D,고시 등,05,약제및치료재료의구입금액에 대한 산정기준,D05002,치료재료 산정기준,2025-07-26T02:55:39.730338
E,의료보호,00,일반사항,E00000,산정방법 및 일반원칙,2025-07-26T02:55:48.103637
E,의료보호,00,일반사항,E00001,의료보호의 기준,2025-07-26T02:55:48.103637
E,의료보호,00,일반사항,E00002,장애인보장구,2025-07-26T02:55:48.105140
E,의료보호,01,진료수가기준,E01000,산정방법 및 일반원칙,2025-07-26T02:55:52.278554
E,의료보호,01,진료수가기준,E01001,의료보호진료기관의 수가기준,2025-07-26T02:55:52.278554
E,의료보호,01,진료수가기준,E01002,정신질환에 대한 수가기준,2025-07-26T02:55:52.278554
F,요양급여기준,00,일반사항,F00000,일반사항,2025-07-26T02:56:00.662591
F,요양급여기준,00,일반사항,F00001,사후처치비용,2025-07-26T02:56:00.662591
F,요양급여기준,01,가입자,F01000,일반사항,2025-07-26T02:56:04.856616
F,요양급여기준,01,가입자,F01001,적용대상,2025-07-26T02:56:04.856616
F,요양급여기준,01,가입자,F01002,자격,2025-07-26T02:56:04.857616
F,요양급여기준,02,보장구,F02000,일반사항,2025-07-26T02:56:09.024273
F,요양급여기준,02,보장구,F02001,기준,2025-07-26T02:56:09.024273
F,요양급여기준,03,보험자,F03000,일반사항,2025-07-26T02:56:13.225995
F,요양급여기준,03,보험자,F03001,급여제한,2025-07-26T02:56:13.225995
F,요양급여기준,03,보험자,F03002,구상권,2025-07-26T02:56:13.225995
F,요양급여기준,03,보험자,F03003,건강보험증,2025-07-26T02:56:13.226996
F,요양급여기준,04,양·한방 동시진료,F04000,일반사항,2025-07-26T02:56:17.373560
F,요양급여기준,05,요양급여의 범위,F05000,일반사항,2025-07-26T02:56:21.550942
